sample_id,timestamp,subject_id,session_id,camera_position,lighting_condition,exercise_type,active_arm,rom_elbow,upper_arm_angle_std,torso_sway_range,shoulder_angle_range,rep_duration,up_phase_duration,down_phase_duration,elbow_velocity_mean,elbow_velocity_std,motion_smoothness,elbow_drift_range,mean_visibility,label,error_type,notes
1,2026-06-11T02:49:49,S04,session_01,side,normal,biceps,right,88.48111311332802,1.9311796923829028,1.4607092766929466,6.461524806237242,2.782959222793579,1.8842942714691162,0.8986649513244629,69.97510721636075,105.11289191746583,3093.9911990322157,6.864461923625353,0.962283425578257,correct,correct,good_form
2,2026-06-11T02:50:07,S04,session_01,side,normal,biceps,right,58.9610180220106,1.199442772503539,2.108067059627814,5.26422896190265,3.254930019378662,2.0019330978393555,1.2529969215393066,44.476820758128326,51.455078324269785,1215.16777646284,4.466068562086406,0.9597467690085372,correct,correct,good_form
3,2026-06-11T02:50:20,S04,session_01,side,normal,biceps,right,67.43330494217122,0.7476643323693204,1.1067263328106534,4.289622356497809,2.8521759510040283,1.4152729511260986,1.4369029998779297,41.74511752929635,53.29562480876633,1161.4120468661235,2.9545332149984955,0.9650083508342504,correct,correct,good_form
4,2026-06-11T02:50:35,S04,session_01,side,normal,biceps,right,84.04180483997456,3.16675187375692,1.0919094762620367,7.803048002363193,2.87908673286438,1.6426458358764648,1.236440896987915,66.25438970773105,51.70287320904033,984.5346378230566,8.657972949319237,0.9443407456080118,correct,correct,good_form
5,2026-06-11T02:50:44,S04,session_01,side,normal,biceps,right,85.15135443019918,1.6935129080294995,1.1568377408434332,4.749873822254608,3.1018495559692383,1.8129520416259766,1.2888975143432617,60.28376836955773,56.320175732508304,1349.0288416200196,5.631372699026858,0.9620013115825233,correct,correct,good_form
6,2026-06-11T02:50:59,S04,session_01,side,normal,biceps,left,70.24735509828456,3.2313556812394397,6.350799841013458,9.268585271546138,2.8516411781311035,1.0471093654632568,1.8045318126678467,56.25127917156355,51.77519447641144,1030.12410775017,9.461361305177979,0.9546127281634205,correct,correct,good_form
7,2026-06-11T02:51:11,S04,session_01,side,normal,biceps,left,109.36542391004339,1.9949534957887518,3.420491146559293,7.417062929912037,2.81384015083313,1.531257152557373,1.2825829982757568,74.86712572335209,57.77729890162229,1162.4931052893655,6.021842867793001,0.9682233910350239,correct,correct,good_form
8,2026-06-11T02:51:32,S04,session_01,side,normal,biceps,left,77.82151495158038,1.9213144180686967,7.813498230350315,10.33034881705055,3.1174545288085938,1.3168742656707764,1.8005802631378174,58.10291584401745,63.90433772059432,1657.9300018777742,6.261873122358497,0.9523469627551411,correct,correct,good_form
9,2026-06-11T02:51:44,S04,session_01,side,normal,biceps,left,77.30489753560161,1.387869125779347,7.382143267010247,10.012370405925678,3.0208828449249268,1.9070250988006592,1.1138577461242676,138.970977126184,422.8422894405367,14514.022357725371,4.684051143235125,0.9670555157648338,correct,correct,good_form
10,2026-06-11T02:51:55,S04,session_01,side,normal,biceps,left,77.78603885509223,1.9398147347002386,7.132498587095535,9.382495935881455,3.2112152576446533,1.3221020698547363,1.889113187789917,57.26169216194759,52.77180712392573,1109.511307403591,6.2142690836071415,0.9583520940504968,correct,correct,good_form
11,2026-06-11T03:12:05,S04,session_02,side,normal,biceps,right,93.1311224987859,3.4495463666811603,2.183633246749558,11.399968361659923,0.5674538612365723,0.2175748348236084,0.34987902641296387,334.1926260934517,263.41192216279705,8951.82597859345,11.544918890622128,0.864969433138245,incorrect,body_swing,badan_bergerak
12,2026-06-11T03:12:17,S04,session_02,side,normal,biceps,right,91.0230276538608,9.15097010384219,11.10941955887196,22.00184217546114,1.0304877758026123,0.43354320526123047,0.5969445705413818,181.48082062772494,207.6349859739059,6402.3634865548165,28.83024676349943,0.940245239004012,incorrect,body_swing,badan_bergerak
13,2026-06-11T03:12:24,S04,session_02,side,normal,biceps,right,93.08195974405902,6.723433839926629,4.321829594721247,24.727514960828987,0.9040772914886475,0.4702441692352295,0.43383312225341797,227.78664870870463,200.81038206466636,6777.088625187392,25.916090536580207,0.8658771972204077,incorrect,body_swing,badan_bergerak
14,2026-06-11T03:12:39,S04,session_02,side,normal,biceps,right,82.71318299874406,7.494224828614205,6.6678529108938935,18.42188860391353,1.1173818111419678,0.6670126914978027,0.45036911964416504,239.018764858896,188.20607713487868,6578.278193901927,22.907315628081488,0.9048855883233687,incorrect,body_swing,badan_bergerak
15,2026-06-11T03:13:04,S04,session_02,side,normal,biceps,left,106.75838506259575,3.3630798453902067,11.454280594037776,5.287291743289372,0.908825159072876,0.4780893325805664,0.43073582649230957,222.94151122191448,165.44180413860107,3635.980016706751,13.904512148498437,0.9384582613048882,incorrect,body_swing,badan_bergerak
16,2026-06-11T03:13:11,S04,session_02,side,normal,biceps,left,101.90590705658164,10.517925052899162,7.358316093526165,24.753575505858237,0.8893637657165527,0.2871994972229004,0.6021642684936523,237.5391363437567,268.9226533067543,7526.431689590935,32.01843600384137,0.9438357226274632,incorrect,body_swing,badan_bergerak
17,2026-06-11T03:13:20,S04,session_02,side,normal,biceps,left,80.39283883718167,14.851089347868465,8.068577207993886,36.66555631468849,1.0670697689056396,0.671107292175293,0.3959624767303467,165.58019377063118,185.19731123249127,4957.414338015592,46.26168242287757,0.9411696800414253,incorrect,body_swing,badan_bergerak
