sample_id,subject_id,error_type,MODEL_PREDICTION,MODEL_CONFIDENCE,rom_elbow,elbow_velocity_mean,rep_duration,timestamp,session_id,camera_position,lighting_condition,exercise_type,active_arm,upper_arm_angle_std,torso_sway_range,shoulder_angle_range,up_phase_duration,down_phase_duration,elbow_velocity_std,motion_smoothness,elbow_drift_range,mean_visibility,label,notes,up_phase_ratio,down_phase_ratio
62,S02,elbow_swing,body_swing,0.99899787,97.8332702055921,216.3626986999852,0.8450503349304199,2026-06-15T03:10:53,session_02,side,normal,biceps,left,4.592230690394192,11.936424616917076,7.364332343697016,0.236572265625,0.6084780693054199,141.04202247081048,2132.421503797835,12.636663104050358,0.9617509005161432,incorrect,siku_maju_mundur,0.2799501708904808,0.7200486457494573
161,S04,body_swing,too_fast,0.9953513,93.1311224987859,334.1926260934517,0.5674538612365723,2026-06-11T03:12:05,session_02,side,normal,biceps,right,3.4495463666811603,2.183633246749558,11.399968361659925,0.2175748348236084,0.3498790264129638,263.41192216279705,8951.82597859345,11.544918890622128,0.864969433138245,incorrect,badan_bergerak,0.38342227670669526,0.6165759610385979
32,S01,not_full_up,correct,0.9898573,99.81302304007612,47.12700966929344,6.919747591018677,2026-06-15T03:34:31,session_04,side,normal,biceps,left,2.363540767358697,2.373149335930118,7.444531195721626,0.6788058280944824,6.240941762924194,38.60564457726785,635.4260834828059,8.099379098930436,0.9792395206598136,incorrect,rom_tidak_penuh,0.09809689169567841,0.9019029637904007
252,S05,correct,not_full_up,0.9932768,70.56373149072559,81.23953947006933,2.0271573066711426,2026-06-11T08:39:54,session_01,side,normal,biceps,left,1.7050594856224357,4.249339590634122,5.581929354085902,1.4334003925323486,0.593756914138794,94.74571276329146,2050.888641020405,7.670024337078035,0.9770060761467272,correct,good_form,0.7070983986870657,0.2929011080115494
31,S01,not_full_up,correct,0.9940509,99.92260165299186,38.85589388267075,8.267876148223877,2026-06-15T03:34:10,session_04,side,normal,biceps,left,1.678914196854968,3.171747861938262,3.770623485465849,7.24482798576355,1.0230481624603271,46.16320363430992,686.0982834401897,6.088230978863671,0.9787708638830388,incorrect,rom_tidak_penuh,0.8762621717619377,0.12373770728803107
90,S02,too_fast,not_full_up,0.98317105,89.7471449797449,301.2253815687903,0.3513994216918945,2026-06-15T03:16:23,session_05,side,normal,biceps,left,0.5304801274960242,1.5368564175182855,1.2660849223191124,0.095949649810791,0.2554497718811035,201.7432409442404,5616.5413843102,1.5957830737097636,0.94847243030866,incorrect,tempo_terlalu_cepat,0.27304933030193973,0.7269478239416576
10,S01,correct,not_full_up,0.9704927,108.5748045193498,148.21706803497153,1.55894136428833,2026-06-10T05:29:09,session_01,side,normal,biceps,right,0.9229240945655058,2.4566937778393605,3.294615376397696,0.7098379135131836,0.8491034507751465,155.37116671288493,2676.9218544262503,2.842213648890702,0.9808734524430652,correct,good_form,0.4553330063855378,0.5446663521539292
351,S06,body_swing,correct,0.9701955,83.91087980452298,94.27319248818836,1.949465036392212,2026-06-11T10:02:22,session_02,side,normal,biceps,left,0.6975140315120698,5.293644744710807,3.940706320046548,1.0973095893859863,0.8521554470062256,67.65677100810842,1385.0269175792157,2.87026552221723,0.9717298309470332,incorrect,badan_bergerak,0.5628769975478656,0.4371224894911588
200,S04,too_fast,elbow_swing,0.9919776,130.14778865842783,315.2407706717882,0.6983981132507324,2026-06-11T03:55:13,session_05,side,normal,biceps,left,7.507651854189053,2.0124631518636624,38.56896681780623,0.3099746704101562,0.3884234428405761,212.192567201616,6460.967032816574,33.74547752760863,0.9677461377448506,incorrect,tempo_terlalu_cepat,0.4438360022643272,0.5561625658896393
355,S06,body_swing,correct,0.9913113,106.27148747716828,94.19934786187936,2.406646251678467,2026-06-11T10:02:55,session_02,side,normal,biceps,left,1.1592841790513284,13.559956726341326,9.860517833011157,1.46563458442688,0.9410116672515868,90.36812728302448,1635.9334709509212,3.909544177881286,0.9801567343098146,incorrect,badan_bergerak,0.6089943523732875,0.3910052321108951
92,S02,too_fast,not_full_up,0.98032254,77.45110307857175,267.78846804202914,0.4374747276306152,2026-06-15T03:16:37,session_05,side,normal,biceps,left,1.274309414675465,1.7523768691777857,2.3500275040519254,0.135483980178833,0.3019907474517822,96.97152958530324,2645.8784076515617,4.0985673941007175,0.961861157646546,incorrect,tempo_terlalu_cepat,0.3096948507580507,0.690302863400846
279,S05,not_full_up,too_fast,0.974969,86.21098414432743,286.63009023145185,1.0549840927124023,2026-06-11T08:48:25,session_04,side,normal,biceps,left,0.8399159189427301,0.9797397269643549,3.132869658045051,0.3613767623901367,0.6936073303222656,542.0104736799483,18471.844264563177,2.895392526455301,0.9710458411524692,incorrect,rom_tidak_penuh,0.3425420556995975,0.6574569964197103
7,S01,correct,not_full_up,0.9482068,107.863673425816,142.63029022422316,1.576099872589111,2026-06-10T05:28:50,session_01,side,normal,biceps,right,1.3754890519259515,1.5842654408214545,4.431125925013898,0.5752253532409668,1.0008745193481443,172.67162106684262,2879.5458994864216,4.051972608769396,0.9818256961948733,correct,good_form,0.3649673464719462,0.6350320190508973
76,S02,elbow_swing,too_fast,0.9875295,110.04121714437804,399.9073527362696,0.3106429576873779,2026-06-15T03:13:11,session_03,side,normal,biceps,right,7.151403924072869,1.7100765828786528,20.45470860335002,0.039257526397705,0.2713854312896728,142.54893345935886,4689.181969219176,23.4112574500731,0.977468866109848,incorrect,siku_maju_mundur,0.12637466600014324,0.8736221148804266
4,S01,correct,not_full_up,0.95769393,114.73544443055128,171.5266157466912,1.4016549587249756,2026-06-10T05:28:15,session_01,side,normal,biceps,left,1.362440257851996,1.8154912441355069,2.411427125457269,0.8473076820373535,0.5543472766876221,170.81794291173412,2793.652284414439,4.292983270636408,0.9911653781930606,correct,good_form,0.6045047479469298,0.39549453861123474
75,S02,elbow_swing,body_swing,0.9621293,120.49656415058658,595.9535032463164,0.6212880611419678,2026-06-15T03:13:07,session_03,side,normal,biceps,right,16.427257522650272,8.275970468013265,102.0890198227577,0.3138883113861084,0.3073997497558594,649.2389368287032,18799.13357230807,68.66916603352983,0.9602158839503924,incorrect,siku_maju_mundur,0.5052210492957372,0.4947773411475161
354,S06,body_swing,correct,0.9822051,106.32318402918192,98.82774289756112,2.298654556274414,2026-06-11T10:02:46,session_02,side,normal,biceps,left,2.333480530887285,12.58873163482961,6.526081021601043,1.3720436096191406,0.9266109466552734,73.81079384293149,1392.110473078453,7.089151469267151,0.9797257199591282,incorrect,badan_bergerak,0.5968896061325969,0.4031099588304975
77,S02,elbow_swing,body_swing,0.94101334,127.95010582195106,531.4962449450185,0.6096668243408203,2026-06-15T03:13:14,session_03,side,normal,biceps,right,25.124583495292995,8.058078751130497,106.8453148773,0.2580134868621826,0.3516533374786377,621.2813525538486,19567.29294322152,72.02758433696158,0.9621113853322136,incorrect,siku_maju_mundur,0.4232033847958922,0.5767949749666537
3,S01,correct,not_full_up,0.9289041,114.77901049035415,143.9090155984131,1.405609369277954,2026-06-10T05:28:09,session_01,side,normal,biceps,left,1.4749336408703593,1.4134989263235556,5.336787430553498,0.6470737457275391,0.758535623550415,170.9954136167361,2406.170331812036,3.928592356144065,0.99179043837132,correct,good_form,0.4603507201358606,0.5396485684294333
261,S05,body_swing,correct,0.86668706,117.5254624998251,111.00129068235684,2.303976058959961,2026-06-11T08:43:21,session_02,side,normal,biceps,left,2.828679775812194,6.770890183590353,6.057392541764791,1.4593451023101809,0.8446309566497803,130.34148463611376,2706.795712311921,10.946956204404051,0.9890544612188727,incorrect,badan_bergerak,0.6334026185872459,0.3665969473806546
159,S04,correct,body_swing,0.96525925,77.30489753560161,138.970977126184,3.0208828449249268,2026-06-11T02:51:44,session_01,side,normal,biceps,left,1.387869125779347,7.382143267010247,10.012370405925678,1.9070250988006592,1.1138577461242676,422.8422894405367,14514.022357725373,4.684051143235125,0.9670555157648338,correct,good_form,0.6312805114981346,0.36871915747291784
73,S02,elbow_swing,too_fast,0.9668897,127.2054366973974,334.5775567275337,0.3831603527069092,2026-06-15T03:12:26,session_03,side,normal,biceps,left,10.075226156866616,0.7270575671395987,29.028212727970143,0.1915801763534546,0.1915801763534546,113.83127849152012,3492.673129231733,29.19085734747439,0.9721713637312254,incorrect,siku_maju_mundur,0.499998695066722,0.499998695066722
1,S01,correct,not_full_up,0.7973034,121.81241949824415,160.67266905760556,1.3585565090179443,2026-06-10T05:27:34,session_01,side,normal,biceps,left,1.644540695670512,2.924427817666689,3.677615787056878,0.6031448841094971,0.7554116249084473,170.20256907771622,2216.172794657749,5.389833305334052,0.9833694882690908,correct,good_form,0.4439597735877153,0.5560394903374455
6,S01,correct,not_full_up,0.919404,107.77902205864105,133.04394788482887,1.574307918548584,2026-06-10T05:28:41,session_01,side,normal,biceps,right,1.784074543967929,2.395473658711133,4.861594060725575,0.7787816524505615,0.7955262660980225,128.04029247217744,2412.2449244754166,5.865971809588882,0.982779283608709,correct,good_form,0.49468159855725796,0.5053177662433932
163,S04,body_swing,elbow_swing,0.48130676,93.08195974405902,227.78664870870463,0.9040772914886476,2026-06-11T03:12:24,session_02,side,normal,biceps,right,6.723433839926629,4.321829594721247,24.727514960828987,0.4702441692352295,0.4338331222534179,200.8103820646664,6777.088625187392,25.916090536580207,0.8658771972204077,incorrect,badan_bergerak,0.5201365563826662,0.4798623375184377
249,S05,correct,not_full_up,0.94866216,77.05560062746035,87.55466504810431,2.011890172958374,2026-06-11T08:39:14,session_01,side,normal,biceps,right,1.5502167152153692,2.540907313545148,7.341450113733286,1.0638659000396729,0.9480242729187012,78.49652967980512,1058.0715394808185,5.022828980759706,0.971755994892702,correct,good_form,0.528788989354388,0.47121051360083466
152,S04,correct,not_full_up,0.95887625,58.9610180220106,44.476820758128326,3.254930019378662,2026-06-11T02:50:07,session_01,side,normal,biceps,right,1.199442772503539,2.108067059627814,5.26422896190265,2.0019330978393555,1.2529969215393066,51.455078324269785,1215.16777646284,4.466068562086406,0.9597467690085372,correct,good_form,0.6150462439666408,0.3849534488071863
281,S05,not_full_up,too_fast,0.8932385,77.44309967182407,161.8441690785039,1.3461432456970217,2026-06-11T08:48:36,session_04,side,normal,biceps,left,2.362440470379657,3.970545146841291,6.025518405933082,0.8815128803253174,0.4646303653717041,194.36716282606088,6085.406829447164,8.254136428610222,0.9682364746928216,incorrect,rom_tidak_penuh,0.6548428098571842,0.3451564472803749
263,S05,body_swing,not_full_up,0.72154456,69.82578479469828,82.79094078489166,2.4260404109954834,2026-06-11T08:43:51,session_02,side,normal,biceps,left,7.330244019842262,11.832908810916024,11.877016154827029,1.7096843719482422,0.7163560390472412,95.2736725111936,2081.7404822683447,21.06288219175636,0.9742849514169512,incorrect,badan_bergerak,0.7047218420095737,0.29527774579630817
5,S01,correct,not_full_up,0.6480578,118.75786143382358,168.48401330626194,1.447352409362793,2026-06-10T05:28:26,session_01,side,normal,biceps,left,1.8485460080638143,2.130394339304603,6.215510772414193,0.6447207927703857,0.8026316165924072,171.94320088752028,3107.750803360722,5.020082586698319,0.986093080136925,correct,good_form,0.44544807688277627,0.5545512322009669
2,S01,correct,not_full_up,0.7614328,118.91039437740366,158.46768004902265,1.5421385765075684,2026-06-10T05:27:56,session_01,side,normal,biceps,left,2.206667170313454,1.7522415347581122,4.126849034262532,0.5869402885437012,0.9551982879638672,164.03483856707797,2495.60873528907,6.395112300713005,0.9897938800208708,correct,good_form,0.3806012746738043,0.6193980768764606
